ASV,taxonomy,RB1903_J2_1128_Sedna_18S_1L_Sterivex,RB1903_J2_1128_Sedna_18S_10L_Prefilter,RB1903_J2_1128_Darya_18S_1L_Sterivex,RB1903_J2_1130_Sedna_18S_1L_Sterivex,RB1903_J2_1131_Sedna_18S_1L_Sterivex,RB1903_J2_1131_Sedna_18S_10L_Prefilter,RB1903_J2_1131_Darya_18S_1L_Sterivex,RB1903_J2_1131_Darya_18S_10L_Prefilter,RB1903_J2_1133_Sedna_18S_1L_Sterivex,RB1903_J2_1133_Sedna_18S_10L_Prefilter,RB1903_J2_1133_Darya_18S_10L_Prefilter,RB1903_J2_1134_Sedna_18S_1L_Sterivex,RB1903_J2_1134_Sedna_18S_10L_Prefilter,RB1903_J2_1134_Darya_18S_1L_Sterivex,RB1903_J2_1134_Darya_18S_10L_Prefilter,RB1903_J2_1135_Sedna_18S_1L_Sterivex,RB1903_J2_1135_Darya_18S_1L_Sterivex,RB1903_J2_1135_Darya_18S_10L_Prefilter,RB1903_J2_1136_Sedna_18S_1L_Sterivex,RB1903_J2_1136_Sedna_18S_10L_Prefilter,RB1903_J2_1136_Darya_18S_1L_Sterivex,RB1903_J2_1136_Darya_18S_10L_Prefilter,RB1903_J2_1137_Sedna_18S_1L_Sterivex,RB1903_J2_1137_Sedna_18S_10L_Prefilter,RB1903_J2_1137_Darya_18S_10L_Prefilter,PCRBlankAA18S,Lab_extraction_ctl_18S_10L_Prefilter,RB1903_Postcruise_ctl_Sedna_18S_1L_Sterivex,RB1903_Postcruise_ctl_Sedna_18S_10L_Prefilter,RB1903_Postcruise_ctl_Darya_18S_1L_Sterivex,RB1903_Postcruise_ctl_Darya_18S_10L_Prefilter,RB1903_Precruise_ctl_Sedna_18S_1L_Sterivex,RB1903_Precruise_ctl_Sedna_18S_10L_Prefilter,RB1903_Precruise_ctl_Darya_18S_1L_Sterivex,RB1903_Precruise_ctl_Darya_18S_10L_Prefilter,Lab_extraction_ctl_18S_1L_Sterivex,RB1903_J2_1128_Darya_18S_10L_Prefilter,RB1903_J2_1130_Sedna_18S_10L_Prefilter,RB1903_J2_1133_Darya_18S_1L_Sterivex,RB1903_J2_1135_Sedna_18S_10L_Prefilter,RB1903_J2_1137_Darya_18S_1L_Sterivex,,
002087db8a9c86f0c29456c179e35b31,d__Unassigned,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,
0021706b1ca315556a24b6d5df927e5b,d__Eukaryota; s__uncultured eukaryote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
00260ff4d4788448f86c3baa4c9dfc0d,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
00263ee5742a7b9e4fbd646f05a8fa19,d__Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,,
0027ae53de9ed48837cefe109070a607,d__Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
00285869a125e98b2915d6aeafdde7b2,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,,
0028dbcfc62e0061e870200331278d5f,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
002bf9e25fd408042a3c20e59c463c22,d__Eukaryota; p__Cercozoa; o__Cercomonadida; f__Cercomonadidae; g__Massisteria; s__Massisteria sp. diva,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
002d79816d3e0ae4a2b21e238a751c35,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
002f1401eb2017aa62c8a21340d90659,d__Eukaryota; p__Ciliophora; c__Spirotrichea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
002f5d0e3753d2978b69b3b448621387,d__Eukaryota; p__Foraminifera; o__Astrorhizida; f__Astrorhizidae; g__Vanhoeffenella; s__Vanhoeffenella sp. SA2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
002fab88c3074d53472104320fef3b16,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
002fe2a791846228887aebbad4e91705,d__Unassigned,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,,
0031c62ea9f1f0501618ec138d021e0a,d__Bacteria; s__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0033776414d9de823536fc54203740d8,d__Eukaryota,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0034501862ca09f49d6de18d83c77e2c,d__Unassigned,0,0,0,0,0,0,0,3,0,0,0,20,2,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
003483c00681062377dfeb0d0e010f6d,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,,
003730896fd884edcd3b8b00facec619,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0039e9e3019d3afa0358b9acc01e9141,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
003a677cf2048289bb656d0cdc6f67dc,d__Eukaryota,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
003a799c3cefe4bc3ed01b500230efbf,d__Eukaryota; k__Metazoa; p__Ctenophora; c__Tentaculata,155,172,0,22,0,0,0,0,0,0,22,0,0,0,0,0,55,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,47,81,0,93,0,,
003c41ecaafad6b52fa31f6aacbf13c8,d__Eukaryota; c__Polycystinea; o__Collodaria; f__Collophidiidae; g__Collophidium; s__Collophidium serpentinum,18,78,61,100,0,8,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,40,304,0,0,0,,
003c6087223c1a5a04cf2e0d6ccb5f3d,d__Unassigned,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,
003cb1887ce7b0ca7797b297c76b02f7,d__Eukaryota; s__uncultured eukaryote,36,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
003cdd43768aee6afcdc2a6b8339da2c,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,
003e84b6dcff58d0d92e4a21207d599b,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
003ecb9e057b3ef1e7a6d59842b2324b,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
003fe939aae828da2e6ca27f694a743c,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0040246237a14074a8fa8e84fa633706,d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; f__Ichthyobodonidae; g__Ichthyobodo,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0041479a82063ef6bc3d937dc7422a88,d__Eukaryota; s__uncultured eukaryote,0,142,20,138,26,39,22,15,0,13,0,0,0,0,0,38,71,23,0,0,0,0,88,79,193,0,0,0,0,0,0,0,0,0,0,0,21,99,0,95,40,,
0043eba80312cdf8b52f1235ba97aae2,d__Eukaryota; c__Oomycota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,
004aa466a222b0b45aa9fc282ea1ee11,d__No_hits,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
004bcfd1f6ed226f1548b706741d3421,d__Eukaryota,0,0,0,0,33,45,22,48,10,0,0,0,0,0,0,12,0,9,0,0,0,0,38,14,40,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,
004edd2b3ff2a80b93e1d63a28399ba5,d__Eukaryota; s__uncultured eukaryote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,
004f6cd67bfd965e4016acae89e45214,d__Eukaryota; p__Euglenozoa,0,0,0,0,0,0,19,0,0,0,0,52,31,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,
0052f02d41240ba3ed7866806464879e,d__Eukaryota; s__uncultured eukaryote,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,
0055452fa27212a683a59910df765c9c,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
00558f97be30a16a172ccc71c6a7e47d,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0057903cc7329a85623894ca354c823a,d__Eukaryota; k__Metazoa; p__Porifera; c__Demospongiae; o__Poecilosclerida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,
0059fb7bafa1e249424b1de889ddaf5c,d__Unassigned,0,0,0,0,30,125,180,137,0,0,0,0,0,0,0,19,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
